Description,TL_X,TL_Y,BR_X,BR_Y
Rect,7.00259722222,-2.67470833333,7.08593055556,-2.75804166667,9:12
Rect,7.00259722222,-2.341375,7.08593055556,-2.42470833333,5:12
Rect,7.00259722222,-4.591375,7.08593055556,-4.67470833333,32:12
Rect,7.00259722222,-4.341375,7.08593055556,-4.42470833333,29:12
Rect,7.75259722222,-6.50805555556,7.83593055556,-6.59138888889,55:21
Rect,7.75259722222,-5.84138888889,7.83593055556,-5.92472222222,47:21
Rect,7.75259722222,-6.34138888889,7.83593055556,-6.42472222222,53:21
Rect,7.75259722222,-5.42470833333,7.83593055556,-5.50804166667,42:21
Rect,7.75259722222,-3.92470833333,7.83593055556,-4.00804166667,24:21
Rect,7.75259722222,-3.42470833333,7.83593055556,-3.50804166667,18:21
Rect,7.75259722222,-3.50804166667,7.83593055556,-3.591375,19:21
Rect,6.50259722222,-4.091375,6.58593055556,-4.17470833333,26:6
Rect,7.75259722222,-2.92470833333,7.83593055556,-3.00804166667,12:21
Rect,7.75259722222,-3.25804166667,7.83593055556,-3.341375,16:21
Rect,7.75259722222,-3.17470833333,7.83593055556,-3.25804166667,15:21
Rect,7.75259722222,-3.67470833333,7.83593055556,-3.75804166667,21:21
Rect,7.75259722222,-3.00804166667,7.83593055556,-3.091375,13:21
Rect,7.75259722222,-3.75804166667,7.83593055556,-3.841375,22:21
Rect,7.75259722222,-5.25804166667,7.83593055556,-5.341375,40:21
Rect,7.75259722222,-4.17470833333,7.83593055556,-4.25804166667,27:21
Rect,7.75259722222,-5.67470833333,7.83593055556,-5.75804166667,45:21
Rect,7.75259722222,-4.00804166667,7.83593055556,-4.091375,25:21
Rect,7.75259722222,-5.75805555556,7.83593055556,-5.84138888889,46:21
Rect,7.75259722222,-4.25804166667,7.83593055556,-4.341375,28:21
Rect,7.75259722222,-5.50804166667,7.83593055556,-5.591375,43:21
Rect,7.75259722222,-4.42470833333,7.83593055556,-4.50804166667,30:21
Rect,7.00259722222,-5.42470833333,7.08593055556,-5.50804166667,42:12
Rect,7.00259722222,-4.67470833333,7.08593055556,-4.75804166667,33:12
Rect,7.00259722222,-5.17470833333,7.08593055556,-5.25804166667,39:12
Rect,7.58593055556,-8.75805555556,7.66926388889,-8.84138888889,82:19
Rect,6.50259722222,-3.591375,6.58593055556,-3.67470833333,20:6
Rect,6.50259722222,-1.92470833333,6.58593055556,-2.00804166667,0:6
Rect,7.00259722222,-3.50804166667,7.08593055556,-3.591375,19:12
Rect,7.00259722222,-3.42470833333,7.08593055556,-3.50804166667,18:12
Rect,7.00259722222,-3.92470833333,7.08593055556,-4.00804166667,24:12
Rect,9.33593055556,-5.591375,9.41926388889,-5.67470833333,44:40
Rect,6.50259722222,-2.091375,6.58593055556,-2.17470833333,2:6
Rect,8.33593055556,-5.591375,8.41926388889,-5.67470833333,44:28
Rect,7.91926388889,-5.341375,8.00259722222,-5.42470833333,41:23
Rect,6.75259722222,-4.091375,6.83593055556,-4.17470833333,26:9
Rect,6.50259722222,-2.67470833333,6.58593055556,-2.75804166667,9:6
Rect,8.58593055556,-5.341375,8.66926388889,-5.42470833333,41:31
Rect,8.08593055556,-5.591375,8.16926388889,-5.67470833333,44:25
Rect,7.91926388889,-5.591375,8.00259722222,-5.67470833333,44:23
Rect,6.75259722222,-7.42472222222,6.83593055556,-7.50805555556,66:9
Rect,9.08593055556,-5.341375,9.16926388889,-5.42470833333,41:37
Rect,8.83593055556,-5.591375,8.91926388889,-5.67470833333,44:34
Rect,9.33593055556,-5.341375,9.41926388889,-5.42470833333,41:40
Rect,9.08593055556,-5.591375,9.16926388889,-5.67470833333,44:37
Rect,8.83593055556,-5.341375,8.91926388889,-5.42470833333,41:34
Rect,6.50259722222,-2.591375,6.58593055556,-2.67470833333,8:6
Rect,8.08593055556,-5.341375,8.16926388889,-5.42470833333,41:25
Rect,9.58593055556,-5.591375,9.66926388889,-5.67470833333,44:43
Rect,6.50259722222,-3.841375,6.58593055556,-3.92470833333,23:6
Rect,9.58593055556,-5.341375,9.66926388889,-5.42470833333,41:43
Rect,8.58593055556,-5.591375,8.66926388889,-5.67470833333,44:31
Rect,8.33593055556,-5.341375,8.41926388889,-5.42470833333,41:28
Rect,8.58593055556,-4.841375,8.66926388889,-4.92470833333,35:31
Rect,8.83593055556,-4.841375,8.91926388889,-4.92470833333,35:34
Rect,8.08593055556,-4.841375,8.16926388889,-4.92470833333,35:25
Rect,8.33593055556,-4.841375,8.41926388889,-4.92470833333,35:28
Rect,9.08593055556,-4.841375,9.16926388889,-4.92470833333,35:37
Rect,6.50259722222,-2.841375,6.58593055556,-2.92470833333,11:6
Rect,9.33593055556,-4.841375,9.41926388889,-4.92470833333,35:40
Rect,6.50259722222,-3.341375,6.58593055556,-3.42470833333,17:6
Rect,6.50259722222,-3.091375,6.58593055556,-3.17470833333,14:6
Rect,9.08593055556,-6.67472222222,9.16926388889,-6.75805555556,57:37
Rect,6.50259722222,-2.42470833333,6.58593055556,-2.50804166667,6:6
Rect,9.33593055556,-6.67472222222,9.41926388889,-6.75805555556,57:40
Rect,6.50259722222,-4.591375,6.58593055556,-4.67470833333,32:6
Rect,6.50259722222,-2.341375,6.58593055556,-2.42470833333,5:6
Rect,6.75259722222,-4.841375,6.83593055556,-4.92470833333,35:9
Rect,7.91926388889,-4.841375,8.00259722222,-4.92470833333,35:23
Rect,9.58593055556,-6.67472222222,9.66926388889,-6.75805555556,57:43
Rect,6.50259722222,-4.341375,6.58593055556,-4.42470833333,29:6
Rect,8.33593055556,-4.091375,8.41926388889,-4.17470833333,26:28
Rect,9.58593055556,-4.091375,9.66926388889,-4.17470833333,26:43
Rect,9.08593055556,-4.091375,9.16926388889,-4.17470833333,26:37
Rect,6.50259722222,-2.17470833333,6.58593055556,-2.25804166667,3:6
Rect,8.58593055556,-4.091375,8.66926388889,-4.17470833333,26:31
Rect,9.33593055556,-4.091375,9.41926388889,-4.17470833333,26:40
Rect,9.58593055556,-4.841375,9.66926388889,-4.92470833333,35:43
Rect,8.83593055556,-4.091375,8.91926388889,-4.17470833333,26:34
Rect,8.08593055556,-4.091375,8.16926388889,-4.17470833333,26:25
Rect,7.91926388889,-4.091375,8.00259722222,-4.17470833333,26:23
Rect,9.66926388889,-5.341375,9.75259722222,-5.42470833333,41:44
Rect,8.16926388889,-4.841375,8.25259722222,-4.92470833333,35:26
Rect,8.91926388889,-4.091375,9.00259722222,-4.17470833333,26:35
Rect,9.41926388889,-6.67472222222,9.50259722222,-6.75805555556,57:41
Rect,8.66926388889,-4.091375,8.75259722222,-4.17470833333,26:32
Rect,8.41926388889,-4.091375,8.50259722222,-4.17470833333,26:29
Rect,8.16926388889,-4.091375,8.25259722222,-4.17470833333,26:26
Rect,8.66926388889,-5.341375,8.75259722222,-5.42470833333,41:32
Rect,9.16926388889,-4.841375,9.25259722222,-4.92470833333,35:38
Rect,8.91926388889,-5.341375,9.00259722222,-5.42470833333,41:35
Rect,9.66926388889,-4.091375,9.75259722222,-4.17470833333,26:44
Rect,8.41926388889,-5.341375,8.50259722222,-5.42470833333,41:29
Rect,9.41926388889,-4.841375,9.50259722222,-4.92470833333,35:41
Rect,9.66926388889,-4.841375,9.75259722222,-4.92470833333,35:44
Rect,8.66926388889,-4.841375,8.75259722222,-4.92470833333,35:32
Rect,8.41926388889,-4.841375,8.50259722222,-4.92470833333,35:29
Rect,9.16926388889,-4.091375,9.25259722222,-4.17470833333,26:38
Rect,9.41926388889,-5.341375,9.50259722222,-5.42470833333,41:41
Rect,9.41926388889,-4.091375,9.50259722222,-4.17470833333,26:41
Rect,8.91926388889,-4.841375,9.00259722222,-4.92470833333,35:35
Rect,8.16926388889,-5.341375,8.25259722222,-5.42470833333,41:26
Rect,8.91926388889,-5.591375,9.00259722222,-5.67470833333,44:35
Rect,8.66926388889,-5.591375,8.75259722222,-5.67470833333,44:32
Rect,8.66926388889,-6.67472222222,8.75259722222,-6.75805555556,57:32
Rect,9.41926388889,-5.591375,9.50259722222,-5.67470833333,44:41
Rect,8.41926388889,-5.591375,8.50259722222,-5.67470833333,44:29
Rect,9.66926388889,-5.591375,9.75259722222,-5.67470833333,44:44
Rect,7.00259722222,-2.92470833333,7.08593055556,-3.00804166667,12:12
Rect,7.00259722222,-3.67470833333,7.08593055556,-3.75804166667,21:12
Rect,7.00259722222,-3.00804166667,7.08593055556,-3.091375,13:12
Rect,7.00259722222,-3.75804166667,7.08593055556,-3.841375,22:12
Rect,7.00259722222,-3.17470833333,7.08593055556,-3.25804166667,15:12
Rect,7.00259722222,-3.25804166667,7.08593055556,-3.341375,16:12
Rect,7.16926388889,-4.091375,7.25259722222,-4.17470833333,26:14
Rect,7.58593055556,-4.091375,7.66926388889,-4.17470833333,26:19
